TimeInterval,GantryID,Direction,VehicleType,交通量
2024-02-27 13:35,三重-台北,北上,大客車,5
2024-02-27 13:35,三重-台北,北上,大貨車,28
2024-02-27 13:35,三重-台北,北上,聯結車,29
2024-02-27 13:35,台北-三重,南下,小客車,289
2024-02-27 13:35,台北-三重,南下,小貨車,93
2024-02-27 13:35,台北-三重,南下,大客車,7
2024-02-27 13:35,台北-三重,南下,大貨車,24
2024-02-27 13:35,台北-三重,南下,聯結車,18
2024-02-27 13:35,五股-三重,北上,小客車,250
2024-02-27 13:35,五股-三重,北上,小貨車,83
2024-02-27 13:35,五股-三重,北上,大客車,9
2024-02-27 13:35,五股-三重,北上,大貨車,31
2024-02-27 13:35,五股-三重,北上,聯結車,24
2024-02-27 13:35,三重-五股,南下,小客車,263
2024-02-27 13:35,三重-五股,南下,小貨車,99
2024-02-27 13:35,三重-五股,南下,大客車,13
2024-02-27 13:35,三重-五股,南下,大貨車,27
2024-02-27 13:35,三重-五股,南下,聯結車,12
2024-02-27 13:35,五股-高公局,南下,小客車,417
2024-02-27 13:35,五股-高公局,南下,小貨車,173
2024-02-27 13:35,五股-高公局,南下,大客車,10
2024-02-27 13:35,五股-高公局,南下,大貨車,30
2024-02-27 13:35,五股-高公局,南下,聯結車,12
2024-02-27 13:35,高公局-五股,北上,小客車,430
2024-02-27 13:35,高公局-五股,北上,小貨車,155
2024-02-27 13:35,高公局-五股,北上,大客車,16
2024-02-27 13:35,高公局-五股,北上,大貨車,31
2024-02-27 13:35,高公局-五股,北上,聯結車,19
2024-02-27 13:35,林口(北)-高公局,北上,小客車,357
2024-02-27 13:35,林口(北)-高公局,北上,小貨車,143
2024-02-27 13:35,林口(北)-高公局,北上,大客車,11
2024-02-27 13:35,林口(北)-高公局,北上,大貨車,37
2024-02-27 13:35,林口(北)-高公局,北上,聯結車,30
2024-02-27 13:35,高公局-林口(北),南下,小客車,320
2024-02-27 13:35,高公局-林口(北),南下,小貨車,139
2024-02-27 13:35,高公局-林口(北),南下,大客車,5
2024-02-27 13:35,高公局-林口(北),南下,大貨車,32
2024-02-27 13:35,高公局-林口(北),南下,聯結車,13
2024-02-27 13:35,林口(南)-林口(北),北上,小客車,200
2024-02-27 13:35,林口(南)-林口(北),北上,小貨車,94
2024-02-27 13:35,林口(南)-林口(北),北上,大客車,7
2024-02-27 13:35,林口(南)-林口(北),北上,大貨車,18
2024-02-27 13:35,林口(南)-林口(北),北上,聯結車,18
2024-02-27 13:35,林口(北)-林口(南),南下,小客車,182
2024-02-27 13:35,林口(北)-林口(南),南下,小貨車,86
