設施名稱,里程K+000,位置座標X,位置座標Y
南港系統交流道,0,121.6233414,25.03527135
石碇交流道,4,121.6472086,25.00892743
頭城交流道,30,121.7902344,24.82889414
宜蘭交流道,38,121.7779985,24.76276805
羅東交流道,47,121.7944929,24.67619293
蘇澳交流道,54,121.8093787,24.62520464
