路段,事故數量,A1,A2,A3
關廟交流道-田寮交流道,133,0,17,116
關西交流道-竹林交流道,226,2,30,194
雲林系統交流道-大林交流道,161,0,25,136
霧峰交流道-霧峰系統交流道,171,0,10,161
霧峰系統交流道-草屯交流道,76,0,5,71
頭份交流道-頭屋交流道,283,0,29,254
頭城交流道-宜蘭交流道,77,0,5,72
頭屋交流道-苗栗交流道,105,1,10,94
香山交流道-西濱交流道,138,1,7,130
高原交流道-關西交流道,392,0,20,372
高架道路楊梅端-湖口交流道,485,1,40,444
高架道路汐止端-東湖交流道,177,0,15,162
高科交流道-岡山交流道,431,2,31,398
高雄交流道-瑞隆路出口匝道,266,0,18,248
鶯歌系統交流道-大溪交流道,614,0,50,564
麟洛交流道-竹田系統交流道,52,1,6,45
麻豆交流道-安定交流道,311,0,27,284
鼎金系統交流道-高雄交流道,732,0,43,689
龍井交流道-和美交流道,194,0,21,173
龍潭交流道-高原交流道,203,0,14,189
