Date,Time,Class,RoadSection,Highway,Direction
2023-01-31,16:20,A2,關西交流道-竹林交流道,國道3號,N
2023-01-05,13:45,A2,田寮交流道-燕巢系統交流道,國道3號,S
2023-01-25,10:40,A2,田寮交流道-燕巢系統交流道,國道3號,S
2023-01-24,15:30,A2,田寮交流道-燕巢系統交流道,國道3號,S
2023-01-07,19:00,A2,九如交流道-屏東交流道,國道3號,N
2023-01-22,08:20,A2,崁頂交流道-南州交流道,國道3號,S
2023-01-23,07:50,A2,屏東交流道-長治交流道,國道3號,N
2023-01-01,09:00,A2,高雄交流道-瑞隆路出口匝道,國道1號,S
2023-01-02,05:40,A2,岡山交流道-楠梓交流道,國道1號,N
2023-01-02,18:40,A2,高科交流道-岡山交流道,國道1號,S
2023-01-03,09:30,A2,路竹交流道-高科交流道,國道1號,S
2023-01-03,08:25,A2,岡山交流道-楠梓交流道,國道1號,S
2023-01-04,17:40,A2,岡山交流道-楠梓交流道,國道1號,S
2023-01-10,10:10,A2,鼎金系統交流道-高雄交流道,國道1號,S
2023-01-10,07:25,A2,鼎金系統交流道-高雄交流道,國道1號,S
2023-01-13,19:00,A2,高科交流道-岡山交流道,國道1號,N
2023-01-16,16:25,A2,楠梓交流道-鼎金系統交流道,國道1號,S
2023-01-16,13:20,A2,路竹交流道-高科交流道,國道1號,S
2023-01-17,11:10,A2,岡山交流道-楠梓交流道,國道1號,N
2023-01-16,15:00,A2,楠梓交流道-鼎金系統交流道,國道1號,N
2023-01-19,18:05,A2,楠梓交流道-鼎金系統交流道,國道1號,S
2023-01-21,11:40,A2,瑞隆路出口匝道-五甲系統交流道,國道1號,S
2023-01-23,10:00,A2,楠梓交流道-鼎金系統交流道,國道1號,N
2023-01-22,22:05,A2,鼎金系統交流道-高雄交流道,國道1號,S
2023-01-23,18:10,A2,岡山交流道-楠梓交流道,國道1號,N
2023-01-23,14:40,A2,鼎金系統交流道-高雄交流道,國道1號,N
2023-01-22,10:05,A2,高雄交流道-瑞隆路出口匝道,國道1號,S
2023-01-30,07:35,A2,五甲系統交流道-五甲交流道,國道1號,S
2023-01-01,01:00,A2,路竹交流道-高科交流道,國道1號,S
2023-01-26,11:15,A2,高科交流道-岡山交流道,國道1號,S
2023-01-02,09:10,A2,安定交流道-台南系統交流道,國道1號,S
2023-01-10,08:55,A2,台南系統交流道-永康交流道,國道1號,N
2023-01-07,17:35,A2,仁德系統交流道-路竹交流道,國道1號,S
2023-01-07,11:10,A2,仁德系統交流道-路竹交流道,國道1號,S
2023-01-16,17:00,A2,安定交流道-台南系統交流道,國道1號,S
2023-01-16,19:35,A2,大灣交流道-仁德交流道,國道1號,S
2023-01-20,11:20,A2,安定交流道-台南系統交流道,國道1號,S
2023-01-22,14:00,A2,永康交流道-大灣交流道,國道1號,N
2023-01-26,22:40,A2,台南系統交流道-永康交流道,國道1號,N
2023-01-28,10:40,A2,大灣交流道-仁德交流道,國道1號,S
2023-01-28,14:20,A2,仁德系統交流道-路竹交流道,國道1號,N
2023-01-30,07:10,A2,永康交流道-大灣交流道,國道1號,N
2023-01-30,15:10,A2,台南系統交流道-永康交流道,國道1號,N
2023-01-14,13:00,A2,麻豆交流道-安定交流道,國道1號,N
2023-01-16,14:50,A2,嘉義系統交流道-新營交流道,國道1號,N
2023-01-18,20:45,A2,新營交流道-下營系統交流道,國道1號,N
2023-01-20,09:25,A2,下營系統交流道-麻豆交流道,國道1號,N
2023-01-20,15:55,A2,下營系統交流道-麻豆交流道,國道1號,N
2023-01-25,11:40,A2,麻豆交流道-安定交流道,國道1號,S
2023-01-26,20:40,A2,新營交流道-下營系統交流道,國道1號,S
2023-01-18,22:15,A2,新營交流道-下營系統交流道,國道1號,S
2023-01-29,10:40,A2,嘉義系統交流道-新營交流道,國道1號,S
2023-01-13,23:30,A2,雲林系統交流道-大林交流道,國道1號,N
2023-01-21,10:00,A2,民雄交流道-嘉義交流道,國道1號,N
2023-01-21,11:45,A2,虎尾交流道-斗南交流道,國道1號,N
2023-01-28,15:00,A2,雲林系統交流道-大林交流道,國道1號,N
2023-01-25,09:35,A2,西螺交流道-虎尾交流道,國道1號,N
2023-01-27,19:15,A2,北斗交流道-西螺交流道,國道1號,N
2023-01-01,22:45,A2,南屯交流道-王田交流道,國道1號,S
2023-01-03,09:00,A2,員林交流道-北斗交流道,國道1號,N
2023-01-08,18:20,A2,彰化系統交流道-彰化交流道,國道1號,N
2023-01-09,08:15,A2,南屯交流道-王田交流道,國道1號,N
2023-01-11,07:45,A2,彰化交流道-埔鹽系統交流道,國道1號,S
2023-01-14,15:00,A2,員林交流道-北斗交流道,國道1號,N
2023-01-14,09:45,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-01-15,15:10,A2,北斗交流道-西螺交流道,國道1號,N
2023-01-19,21:05,A2,彰化系統交流道-彰化交流道,國道1號,S
2023-01-20,18:55,A2,彰化系統交流道-彰化交流道,國道1號,S
2023-01-23,06:05,A2,彰化交流道-埔鹽系統交流道,國道1號,S
2023-01-24,14:15,A2,彰化系統交流道-彰化交流道,國道1號,S
2023-01-27,13:35,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-01-27,18:00,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-01-02,09:40,A2,三義交流道-后里交流道,國道1號,N
2023-01-02,17:40,A2,台中系統交流道-豐原交流道,國道1號,N
2023-01-04,21:40,A2,銅鑼交流道-三義交流道,國道1號,S
2023-01-06,13:55,A2,三義交流道-后里交流道,國道1號,S
2023-01-06,18:40,A2,台中交流道-南屯交流道,國道1號,S
2023-01-07,17:25,A2,豐原交流道-大雅交流道,國道1號,S
2023-01-16,17:55,A2,台中系統交流道-豐原交流道,國道1號,N
2023-01-17,07:55,A2,豐原交流道-大雅交流道,國道1號,N
2023-01-19,18:10,A2,台中系統交流道-豐原交流道,國道1號,N
2023-01-17,15:25,A2,后里交流道-台中系統交流道,國道1號,N
2023-01-24,12:15,A2,台中系統交流道-豐原交流道,國道1號,N
2023-01-26,17:40,A2,豐原交流道-大雅交流道,國道1號,N
2023-01-17,06:05,A2,后里交流道-台中系統交流道,國道1號,N
2023-01-30,13:00,A2,台中系統交流道-豐原交流道,國道1號,N
2023-01-30,13:40,A2,大雅交流道-台中交流道,國道1號,S
2023-01-30,16:30,A2,台中系統交流道-豐原交流道,國道1號,S
2023-01-10,18:35,A2,豐原交流道-大雅交流道,國道1號,S
2023-01-25,12:55,A2,大雅交流道-台中交流道,國道1號,N
2023-01-26,23:40,A2,西濱交流道-竹南交流道,國道3號,N
2023-01-01,12:40,A2,頭份交流道-頭屋交流道,國道1號,S
2023-01-17,10:40,A2,苗栗交流道-銅鑼交流道,國道1號,N
2023-01-08,16:35,A2,苗栗交流道-銅鑼交流道,國道1號,S
2023-01-02,06:10,A2,高架道路楊梅端-湖口交流道,國道1號,N
2023-01-03,08:05,A2,新竹系統交流道-頭份交流道,國道1號,N
2023-01-04,08:40,A2,高架道路楊梅端-湖口交流道,國道1號,N
2023-01-11,09:50,A2,新竹交流道-新竹系統交流道,國道1號,N
2023-01-11,03:20,A2,湖口交流道-竹北交流道,國道1號,S
2023-01-10,04:35,A2,湖口交流道-竹北交流道,國道1號,N
2023-01-21,11:05,A2,高架道路楊梅端-湖口交流道,國道1號,S
2023-01-21,15:45,A2,湖口交流道-竹北交流道,國道1號,N
2023-01-22,18:15,A2,竹北交流道-新竹交流道,國道1號,N
2023-01-24,10:00,A2,湖口交流道-竹北交流道,國道1號,S
2023-01-25,14:50,A2,湖口交流道-竹北交流道,國道1號,N
2023-01-22,03:45,A2,湖口交流道-竹北交流道,國道1號,N
2023-01-27,09:50,A2,湖口交流道-竹北交流道,國道1號,S
2023-01-28,21:10,A2,高架道路楊梅端-湖口交流道,國道1號,N
2023-01-03,08:00,A2,汐止端-堤頂交流道,國道1號_高架,S
2023-01-02,17:10,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-01-09,17:05,A2,內湖交流道-圓山交流道,國道1號,S
2023-01-09,20:20,A2,堤頂交流道-下塔悠出口匝道,國道1號_高架,S
2023-01-12,12:20,A2,圓山交流道-台北交流道,國道1號,S
2023-01-16,13:20,A2,三重交流道-五股轉接道,國道1號,N
2023-01-16,16:05,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-01-17,15:50,A2,圓山交流道-台北交流道,國道1號,S
2023-01-26,06:45,A2,八堵交流道-大華系統交流道,國道1號,N
2023-01-30,17:05,A2,內湖交流道-圓山交流道,國道1號,N
2023-01-14,22:35,A2,東湖交流道-內湖交流道,國道1號,S
2023-01-02,16:50,A2,機場系統交流道-內壢交流道,國道1號,S
2023-01-04,08:20,A2,中壢轉接道-中壢交流道,國道1號,S
2023-01-07,15:40,A2,中壢交流道-平鎮系統交流道,國道1號,N
2023-01-12,17:40,A2,泰山轉接道-機場系統交流道,國道1號_高架,N
2023-01-13,08:05,A2,幼獅交流道-楊梅交流道,國道1號,S
2023-01-12,11:15,A2,中壢交流道-平鎮系統交流道,國道1號,N
2023-01-13,09:00,A2,中壢轉接道-校前路交流道,國道1號_高架,S
2023-01-18,15:20,A2,中壢交流道-平鎮系統交流道,國道1號,N
2023-01-18,18:20,A2,中壢轉接道-中壢交流道,國道1號,S
2023-01-22,02:10,A2,中壢轉接道-校前路交流道,國道1號_高架,S
2023-01-22,06:20,A2,楊梅交流道-高架道路楊梅端,國道1號,S
2023-01-22,14:35,A2,機場系統交流道-內壢交流道,國道1號,S
2023-01-30,17:30,A2,內壢交流道-中壢轉接道,國道1號,S
2023-01-09,18:15,A2,機場系統交流道-內壢交流道,國道1號,N
2023-01-01,10:25,A2,林口交流道-桃園交流道,國道1號,S
2023-01-02,18:55,A2,桃園交流道-機場系統交流道,國道1號,S
2023-01-03,15:20,A2,五股轉接道-五股交流道,國道1號,N
2023-01-04,14:20,A2,五股交流道-泰山轉接道,國道1號,N
2023-01-08,12:20,A2,五股轉接道-泰山轉接道,國道1號_高架,N
2023-01-04,05:30,A2,泰山轉接道-林口交流道,國道1號,S
2023-01-02,09:45,A2,泰山轉接道-機場系統交流道,國道1號_高架,S
2023-01-12,18:15,A2,林口交流道-桃園交流道,國道1號,S
2023-01-13,12:50,A2,泰山轉接道-林口交流道,國道1號,N
2023-01-14,13:35,A2,泰山轉接道-林口交流道,國道1號,S
2023-01-14,12:50,A2,五股轉接道-泰山轉接道,國道1號_高架,N
2023-01-16,13:50,A2,泰山轉接道-林口交流道,國道1號,N
2023-01-18,19:50,A2,五股轉接道-泰山轉接道,國道1號_高架,N
2023-01-21,11:35,A2,泰山轉接道-林口交流道,國道1號,S
2023-01-22,16:10,A2,泰山轉接道-機場系統交流道,國道1號_高架,S
2023-01-02,23:40,A2,林口交流道-桃園交流道,國道1號,N
2023-01-26,10:20,A2,林口交流道-桃園交流道,國道1號,S
2023-01-28,04:50,A2,泰山轉接道-林口交流道,國道1號,S
2023-01-17,18:50,A2,五股交流道-泰山轉接道,國道1號,N
2023-01-19,19:40,A2,林口交流道-桃園交流道,國道1號,N
2023-01-30,12:30,A2,林口交流道-桃園交流道,國道1號,N
2023-01-18,23:40,A2,泰山轉接道-機場系統交流道,國道1號_高架,N
2023-01-05,18:25,A2,泰山轉接道-機場系統交流道,國道1號_高架,N
2023-01-18,22:15,A2,泰山轉接道-機場系統交流道,國道1號_高架,N
2023-01-03,14:55,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-01-06,18:25,A2,環北交流道-五股轉接道,國道1號_高架,S
2023-01-14,08:30,A2,圓山交流道-台北交流道,國道1號,S
2023-01-14,19:15,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-01-16,20:20,A2,汐止交流道-汐止系統交流道,國道1號,N
2023-01-17,01:30,A2,東湖交流道-內湖交流道,國道1號,S
2023-01-19,17:50,A2,圓山交流道-台北交流道,國道1號,S
2023-01-19,14:55,A2,環北交流道-五股轉接道,國道1號_高架,S
2023-01-19,14:55,A2,環北交流道-五股轉接道,國道1號_高架,S
2023-01-16,17:05,A2,堤頂交流道-下塔悠出口匝道,國道1號_高架,S
2023-01-24,17:50,A2,五堵交流道-汐止交流道,國道1號,N
2023-01-30,17:10,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-01-26,22:20,A2,環北交流道-五股轉接道,國道1號_高架,N
2023-02-04,09:20,A2,和美交流道-彰化系統交流道,國道3號,N
2023-02-18,15:25,A2,和美交流道-彰化系統交流道,國道3號,N
2023-02-04,01:40,A2,名間交流道-竹山交流道,國道3號,N
2023-02-12,18:25,A2,中興交流道-南投交流道,國道3號,N
2023-02-05,22:55,A2,中興系統交流道-中興交流道,國道3號,N
2023-02-27,19:20,A2,名間交流道-竹山交流道,國道3號,N
2023-02-04,09:50,A2,沙鹿交流道-龍井交流道,國道3號,S
2023-02-12,11:40,A2,大甲交流道-中港系統交流道,國道3號,N
2023-02-18,09:55,A2,中港系統交流道-沙鹿交流道,國道3號,N
2023-02-04,12:05,A2,石碇交流道-頭城交流道,國道5號,S
2023-02-11,18:40,A2,頭城交流道-宜蘭交流道,國道5號,N
2023-02-02,08:00,A2,南深路出口匝道-木柵交流道,國道3號,S
2023-02-15,07:40,A2,木柵交流道-新店交流道,國道3號,N
2023-02-18,11:30,A2,南深路出口匝道-木柵交流道,國道3號,N
2023-02-21,13:55,A2,木柵交流道-新店交流道,國道3號,S
2023-02-23,07:45,A2,新店交流道-安坑交流道,國道3號,N
2023-02-24,14:50,A2,木柵交流道-新店交流道,國道3號,S
2023-02-05,15:20,A2,南港系統交流道-石碇交流道,國道5號,N
2023-02-08,06:05,A2,石碇交流道-頭城交流道,國道5號,S
2023-02-20,23:45,A2,瑪東系統交流道-汐止系統交流道,國道3號,S
2023-02-22,18:30,A2,基金交流道-瑪東系統交流道,國道3號,N
2023-02-28,08:40,A2,南港系統交流道-石碇交流道,國道5號,N
2023-02-11,10:50,A2,竹山交流道-南雲交流道,國道3號,N
2023-02-11,16:55,A2,梅山交流道-竹崎交流道,國道3號,S
2023-02-15,12:50,A2,古坑交流道-梅山交流道,國道3號,S
2023-02-17,03:55,A2,南雲交流道-斗六交流道,國道3號,S
2023-02-19,04:55,A2,斗六交流道-古坑系統交流道,國道3號,S
2023-02-24,15:00,A2,斗六交流道-古坑系統交流道,國道3號,S
2023-02-25,10:55,A2,古坑交流道-梅山交流道,國道3號,N
2023-02-26,14:30,A2,斗六交流道-古坑系統交流道,國道3號,S
2023-02-12,17:25,A2,竹崎交流道-中埔交流道,國道3號,S
2023-02-13,05:50,A2,烏山頭交流道-官田系統交流道,國道3號,S
2023-02-20,07:35,A2,梅山交流道-竹崎交流道,國道3號,N
2023-02-25,10:25,A2,水上系統交流道-白河交流道,國道3號,S
2023-02-05,16:40,A2,關廟交流道-田寮交流道,國道3號,S
2023-02-09,22:00,A2,新化系統交流道-關廟交流道,國道3號,N
2023-02-11,14:55,A2,善化交流道-新化系統交流道,國道3號,N
2023-02-13,13:35,A2,新化系統交流道-關廟交流道,國道3號,S
2023-02-26,19:20,A2,官田系統交流道-善化交流道,國道3號,S
2023-02-05,16:20,A2,土城交流道-樹林交流道,國道3號,N
2023-02-06,18:40,A2,新店交流道-安坑交流道,國道3號,S
2023-02-07,17:00,A2,中和交流道-土城交流道,國道3號,N
2023-02-09,19:15,A2,三鶯交流道-鶯歌系統交流道,國道3號,S
2023-02-10,16:15,A2,安坑交流道-中和交流道,國道3號,N
2023-02-10,20:50,A2,土城交流道-樹林交流道,國道3號,N
2023-02-16,19:20,A2,安坑交流道-中和交流道,國道3號,N
